"diameter","albedo","spkid","full_name","pha","H","e","a","q","i","n","per","per_y","moid","class"
0.9,0.21,20002608,"  2608 Seneca (1978 DA)",N,17.48,0.5647,2.53,1.102,14.43,0.2449,1.47e+03,4.03,0.153,AMO
1.6,,20003102,"  3102 Krok (1981 QA)",N,16.16,0.4492,2.151,1.185,8.44,0.3124,1.15e+03,3.16,0.183,AMO
1.5,0.64,20003103,"  3103 Eger (1982 BB)",N,15.30,0.3542,1.404,0.907,20.93,0.5925,608,1.66,0.0786,APO
4.9,0.231,20003122,"  3122 Florence (1981 ET3)",Y,14.08,0.4232,1.769,1.020,22.14,0.4189,859,2.35,0.0436,AMO
2.2,0.42,20003199,"  3199 Nefertiti (1982 RA)",N,14.99,0.2841,1.575,1.127,32.96,0.4988,722,1.98,0.215,AMO
6.25,0.1066,20003200,"  3200 Phaethon (1983 TB)",Y,14.39,0.8897,1.271,0.140,22.31,0.6875,524,1.43,0.0187,APO
2.8,0.22,20003288,"  3288 Seleucus (1982 DV)",N,15.34,0.4545,2.034,1.110,5.93,0.3397,1.06e+03,2.9,0.105,AMO
1.8,0.17,20003360,"  3360 Syrinx (1981 VA)",N,16.04,0.7474,2.466,0.623,21.07,0.2545,1.41e+03,3.87,0.11,APO
0.3,0.357,20003361,"  3361 Orpheus (1982 HR)",Y,19.54,0.3232,1.21,0.819,2.65,0.7404,486,1.33,0.0146,APO
0.7,0.21,20003362,"  3362 Khufu (1984 QA)",Y,18.52,0.4685,0.9895,0.526,9.92,1.001,360,0.984,0.013,ATE
0.9,0.37,20003551,"  3551 Verenia (1983 RD)",N,16.72,0.4868,2.093,1.074,9.51,0.3255,1.11e+03,3.03,0.0749,AMO
19.0,0.03,20003552,"  3552 Don Quixote (1983 SA)",N,13.04,0.7073,4.27,1.250,31.05,0.1117,3.22e+03,8.82,0.342,AMO
3.341,0.074,20003554,"  3554 Amun (1986 EB)",N,15.91,0.2806,0.974,0.701,23.36,1.025,351,0.961,0.25,ATE
1.5,0.16,20003671,"  3671 Dionysus (1984 KD)",Y,16.49,0.5438,2.197,1.002,13.53,0.3026,1.19e+03,3.26,0.015,APO
4.3,0.515,20003691,"  3691 Bede (1982 FT)",N,14.93,0.2845,1.774,1.270,20.35,0.4171,863,2.36,0.35,AMO
2.306,0.210,20003752,"  3752 Camillo (1985 PA)",N,15.14,0.3015,1.414,0.987,55.56,0.5864,614,1.68,0.0778,APO
2.071,0.365,20003753,"  3753 Cruithne (1986 TO)",N,15.42,0.5149,0.9978,0.484,19.80,0.9889,364,0.997,0.0703,ATE
0.5,0.18,20003757,"  3757 Anagolay (1982 XB)",Y,19.01,0.4459,1.835,1.017,3.87,0.3967,908,2.48,0.0366,APO
1.0,0.23,20003908,"  3908 Nyx (1980 PA)",N,17.45,0.4590,1.928,1.043,2.19,0.3682,978,2.68,0.0567,AMO
0.7,,20003988,"  3988 Huma (1986 LA)",N,17.94,0.3167,1.545,1.055,10.77,0.5134,701,1.92,0.177,AMO
4,0.05,20004015,"  4015 Wilson-Harrington (1979 VA)",Y,16.19,0.6309,2.626,0.969,2.80,0.2316,1.55e+03,4.26,0.043,APO
0.42,0.52,20004034,"  4034 Vishnu (1986 PA)",Y,18.49,0.4440,1.059,0.589,11.17,0.9039,398,1.09,0.0191,APO
2.49,0.31,20004055,"  4055 Magellan (1985 DO2)",N,14.92,0.3260,1.82,1.227,23.25,0.4013,897,2.46,0.239,AMO
5.4,0.405,20004179,"  4179 Toutatis (1989 AC)",Y,15.29,0.6247,2.543,0.954,0.45,0.243,1.48e+03,4.06,0.00651,APO
3.651,0.097,20004183,"  4183 Cuno (1959 LM)",Y,14.16,0.6362,1.981,0.721,6.67,0.3535,1.02e+03,2.79,0.0284,APO
1.8,0.37,20004197,"  4197 Morpheus (1982 TA)",N,14.97,0.7725,2.295,0.522,12.60,0.2834,1.27e+03,3.48,0.0985,APO
3.177,0.054,20004341,"  4341 Poseidon (1987 KF)",N,16.08,0.6801,1.834,0.587,11.84,0.3968,907,2.48,0.194,APO
1.801,0.343,20004401,"  4401 Aditi (1985 TB)",N,16.12,0.5634,2.584,1.128,26.62,0.2373,1.52e+03,4.15,0.335,AMO
1.849,0.297,20004486,"  4486 Mithra (1987 SB)",Y,15.61,0.6600,2.206,0.750,3.03,0.3007,1.2e+03,3.28,0.0459,APO
1.3,,20004544,"  4544 Xanthus (1989 FB)",N,17.37,0.2501,1.042,0.781,14.14,0.9266,389,1.06,0.173,APO
0.33,0.55,20004660,"  4660 Nereus (1982 DB)",Y,18.75,0.3588,1.485,0.952,1.45,0.5446,661,1.81,0.00416,APO
0.6,0.18,20004688,"  4688 (1980 WF)",N,19.60,0.5179,2.233,1.077,6.37,0.2954,1.22e+03,3.34,0.108,AMO
1.4,0.092,20004769,"  4769 Castalia (1989 PB)",Y,17.40,0.4832,1.063,0.549,8.89,0.8992,400,1.1,0.0203,APO
10.8,0.176,20004954,"  4954 Eric (1990 SQ)",N,12.56,0.4494,2.001,1.102,17.43,0.3481,1.03e+03,2.83,0.194,AMO
3.499,0.132,20004957,"  4957 Brucemurray (1990 XJ)",N,15.05,0.2188,1.565,1.223,35.01,0.5032,715,1.96,0.425,AMO
4.843,0.227,20005143,"  5143 Heracles (1991 VL)",N,14.05,0.7712,1.835,0.420,8.98,0.3966,908,2.49,0.0575,APO
3.6,,20005332,"  5332 Davidaguilar (1990 DA)",N,14.96,0.4556,2.163,1.178,25.52,0.3097,1.16e+03,3.18,0.305,AMO
3.6,0.037,20005370,"  5370 Taranis (1986 RA)",N,15.23,0.6370,3.318,1.205,19.17,0.1631,2.21e+03,6.04,0.212,AMO
0.935,0.507,20005381,"  5381 Sekhmet (1991 JY)",N,16.72,0.2964,0.9474,0.667,48.97,1.069,337,0.922,0.111,ATE
3.57,0.32,20005587,"  5587 (1990 SB)",N,13.89,0.5443,2.401,1.094,18.04,0.265,1.36e+03,3.72,0.31,AMO
0.55,0.48,20005604,"  5604 (1992 FE)",Y,17.38,0.4065,0.93,0.552,4.70,1.099,328,0.897,0.0336,ATE
1.668,0.121,20005645,"  5645 (1990 SP)",N,17.23,0.3873,1.355,0.830,13.51,0.6252,576,1.58,0.054,APO
4.3,0.223,20005646,"  5646 (1990 TR)",N,15.51,0.4358,2.144,1.210,7.91,0.3139,1.15e+03,3.14,0.211,AMO
1.537,0.271,20005653,"  5653 Camarillo (1992 WD5)",N,16.22,0.3044,1.794,1.248,6.87,0.4101,878,2.4,0.282,AMO
5.231,0.031,20005731,"  5731 Zeus (1988 VP4)",N,15.47,0.6524,2.265,0.787,11.20,0.2891,1.25e+03,3.41,0.0647,APO
2.3,0.36,20005751,"  5751 Zao (1992 AC)",N,14.94,0.4253,2.101,1.208,16.07,0.3235,1.11e+03,3.05,0.24,AMO
0.4,,20005797,"  5797 Bivoj (1980 AA)",N,18.89,0.4443,1.894,1.052,4.19,0.3782,952,2.61,0.0698,AMO
1.457,0.331,20005828,"  5828 (1991 AM)",N,15.96,0.6949,1.698,0.518,30.18,0.4453,808,2.21,0.399,APO
2.754,0.156,20005836,"  5836 (1993 MF)",N,14.99,0.5383,2.439,1.126,7.93,0.2588,1.39e+03,3.81,0.18,AMO
1.345,0.488,20005863,"  5863 Tara (1983 RB)",N,15.84,0.5073,2.221,1.094,19.51,0.2979,1.21e+03,3.31,0.231,AMO
2.884,0.257,20006050,"  6050 Miwablock (1992 AE)",N,14.94,0.4372,2.202,1.239,6.41,0.3017,1.19e+03,3.27,0.268,AMO
3.720,0.140,20006053,"  6053 (1993 BW3)",N,15.10,0.5284,2.147,1.013,21.58,0.3133,1.15e+03,3.15,0.222,APO
1.4,0.21,20006063,"  6063 Jason (1984 KB)",N,16.02,0.7625,2.22,0.527,4.96,0.298,1.21e+03,3.31,0.0763,APO
2.3,0.15,20006178,"  6178 (1986 DA)",N,15.71,0.5848,2.814,1.168,4.31,0.2088,1.72e+03,4.72,0.178,AMO
4.626,0.227,20006455,"  6455 (1992 HE)",N,14.08,0.5729,2.24,0.957,37.34,0.2939,1.22e+03,3.35,0.287,APO
0.53,0.151,20006489,"  6489 Golevka (1991 JX)",Y,19.22,0.6188,2.477,0.944,2.26,0.2529,1.42e+03,3.9,0.0225,APO
1.408,0.158,20006611,"  6611 (1993 VW)",N,16.82,0.4845,1.696,0.874,8.70,0.4463,807,2.21,0.0598,APO
0.498,0.340,20007025,"  7025 (1993 QA)",N,18.08,0.3150,1.476,1.011,12.61,0.5498,655,1.79,0.0622,APO
1.298,0.260,20007088,"  7088 Ishtar (1992 AA)",N,16.84,0.3903,1.981,1.208,8.30,0.3535,1.02e+03,2.79,0.224,AMO
6.319,0.046,20007092,"  7092 Cadmus (1992 LC)",N,15.12,0.6937,2.545,0.780,17.79,0.2427,1.48e+03,4.06,0.101,APO
1.8,0.448,20007335,"  7335 (1989 JA)",Y,17.70,0.4845,1.773,0.914,15.16,0.4176,862,2.36,0.0215,APO
0.982,0.235,20007341,"  7341 (1991 VK)",Y,16.96,0.5061,1.842,0.910,5.41,0.3944,913,2.5,0.0481,APO
1.921,0.069,20007350,"  7350 (1993 VA)",N,17.16,0.3912,1.356,0.826,7.26,0.6242,577,1.58,0.0811,APO
1.052,0.277,20007482,"  7482 (1994 PC1)",Y,16.58,0.3294,1.349,0.904,33.47,0.6292,572,1.57,0.000726,APO
1.602,0.075,20007822,"  7822 (1991 CS)",Y,17.34,0.1646,1.123,0.938,37.12,0.8285,434,1.19,0.0216,APO
0.784,0.181,20007839,"  7839 (1994 ND)",N,17.83,0.5186,2.165,1.042,27.12,0.3094,1.16e+03,3.19,0.135,AMO
2.298,0.257,20007888,"  7888 (1993 UC)",N,15.19,0.6632,2.439,0.821,26.08,0.2588,1.39e+03,3.81,0.0869,APO
1.680,0.452,20007889,"  7889 (1994 LX)",N,15.24,0.3463,1.262,0.825,36.91,0.6956,518,1.42,0.155,APO
2.3,,20008013,"  8013 Gordonmoore (1990 KA)",N,17.09,0.4321,2.2,1.249,7.60,0.3021,1.19e+03,3.26,0.244,AMO
0.7,,20008014,"  8014 (1990 MF)",Y,18.88,0.4560,1.748,0.951,1.87,0.4266,844,2.31,0.0168,APO
1.859,0.154,20008201,"  8201 (1994 AH2)",N,15.94,0.7061,2.54,0.746,9.54,0.2435,1.48e+03,4.05,0.101,APO
1.568,0.217,20008566,"  8566 (1996 EN)",Y,16.47,0.4304,1.506,0.858,37.98,0.5331,675,1.85,0.0226,APO
2.928,0.156,20008567,"  8567 (1996 HW1)",N,15.36,0.4491,2.046,1.127,8.45,0.3369,1.07e+03,2.93,0.122,AMO
1.127,0.088,20009162,"  9162 Kwiila (1987 OA)",N,18.01,0.5955,1.497,0.605,9.01,0.5383,669,1.83,0.0806,APO
1.617,0.332,20009202,"  9202 (1993 PB)",N,16.10,0.6078,1.424,0.558,40.80,0.5801,621,1.7,0.374,APO
3.698,0.155,20009400,"  9400 (1994 TW1)",N,14.84,0.5807,2.588,1.085,35.98,0.2367,1.52e+03,4.16,0.285,AMO
1.0,0.3,20009856,"  9856 (1991 EE)",Y,17.10,0.6258,2.243,0.839,9.83,0.2934,1.23e+03,3.36,0.0222,APO
0.938,0.318,20010115," 10115 (1992 SK)",Y,17.10,0.3249,1.249,0.843,15.32,0.7064,510,1.4,0.0464,APO
0.829,0.372,20010165," 10165 (1995 BL2)",N,17.36,0.5039,1.235,0.613,23.90,0.7185,501,1.37,0.376,APO
0.533,0.645,20010636," 10636 (1998 QK56)",N,17.70,0.5128,1.885,0.918,13.57,0.3809,945,2.59,0.11,APO
2.104,0.190,20011066," 11066 Sigurd (1992 CC1)",N,15.17,0.3754,1.392,0.869,36.88,0.6004,600,1.64,0.119,APO
1.316,0.318,20011398," 11398 (1998 YP11)",N,16.38,0.3891,1.721,1.051,15.02,0.4365,825,2.26,0.202,AMO
3.621,0.112,20011405," 11405 (1999 CV3)",N,15.22,0.3938,1.46,0.885,22.86,0.559,644,1.76,0.117,APO
0.738,0.142,20011500," 11500 Tomaiyowit (1989 UR)",Y,18.37,0.3558,1.08,0.696,10.31,0.8783,410,1.12,0.0344,APO
1.298,0.033,20011885," 11885 Summanus (1990 SS)",N,18.52,0.4745,1.703,0.895,19.43,0.4434,812,2.22,0.0664,APO
1.663,0.232,20012538," 12538 (1998 OH)",Y,15.96,0.4059,1.542,0.916,24.54,0.5149,699,1.91,0.0302,APO
2.060,0.199,20012923," 12923 Zephyr (1999 GK4)",Y,15.80,0.4927,1.962,0.995,5.31,0.3586,1e+03,2.75,0.02,APO
0.562,0.511,20013651," 13651 (1997 BR)",Y,17.89,0.3057,1.336,0.927,17.25,0.6386,564,1.54,0.0156,APO
0.6,0.14,20014402," 14402 (1991 DB)",N,18.77,0.4017,1.715,1.026,11.41,0.4389,820,2.25,0.102,AMO
0.9,,20014827," 14827 Hypnos (1986 JK)",Y,18.81,0.6643,2.851,0.957,1.97,0.2048,1.76e+03,4.81,0.0158,APO
4.106,0.020,20016064," 16064 Davidharvey (1999 RH27)",N,16.86,0.5893,2.851,1.171,4.54,0.2048,1.76e+03,4.81,0.203,AMO
1.87,0.22,20016834," 16834 (1997 WU22)",N,15.75,0.4422,1.468,0.819,16.00,0.5542,650,1.78,0.147,APO
2.885,0.028,20017182," 17182 (1999 VU)",N,17.13,0.5534,1.387,0.619,9.27,0.6034,597,1.63,0.144,APO
1.819,0.147,20017188," 17188 (1999 WC2)",N,16.40,0.6367,2.216,0.805,29.45,0.2987,1.21e+03,3.3,0.0632,APO
3.183,0.037,20017274," 17274 (2000 LC16)",N,16.87,0.5541,2.731,1.218,5.57,0.2184,1.65e+03,4.51,0.207,AMO
0.91,0.34,20019356," 19356 (1997 GH3)",N,17.00,0.5578,2.512,1.111,3.01,0.2475,1.45e+03,3.98,0.121,AMO
1.572,0.342,20019764," 19764 (2000 NF5)",N,16.11,0.4447,2.233,1.240,1.33,0.2955,1.22e+03,3.34,0.222,AMO
2.716,0.199,20020460," 20460 Robwhiteley (1999 LO28)",N,15.41,0.4118,1.877,1.104,33.95,0.3834,939,2.57,0.329,AMO
3.687,0.123,20020826," 20826 (2000 UV13)",N,13.85,0.6365,2.418,0.879,31.93,0.2622,1.37e+03,3.76,0.093,APO
2.793,0.206,20021088," 21088 Chelyabinsk (1992 BL2)",N,14.36,0.2387,1.706,1.299,38.46,0.4422,814,2.23,0.306,AMO
0.524,0.444,20022099," 22099 (2000 EX106)",N,18.09,0.2763,1.104,0.799,9.85,0.8491,424,1.16,0.168,APO
1.098,0.640,20023183," 23183 (2000 OY21)",N,16.06,0.4009,1.824,1.093,40.98,0.4001,900,2.46,0.256,AMO
0.866,0.123,20023606," 23606 (1996 AS1)",N,18.39,0.3609,1.751,1.119,14.36,0.4255,846,2.32,0.101,AMO
0.33,,20025143," 25143 Itokawa (1998 SF36)",Y,19.26,0.2802,1.324,0.953,1.62,0.6469,557,1.52,0.0133,APO
3.21,0.052,20025330," 25330 (1999 KV4)",N,16.74,0.3709,1.541,0.969,14.33,0.5154,698,1.91,0.173,APO
5.683,0.177,20025916," 25916 (2001 CP44)",N,13.77,0.4998,2.558,1.279,15.76,0.2409,1.49e+03,4.09,0.273,AMO
5.400,0.042,20026760," 26760 (2001 KP41)",N,15.50,0.5570,2.854,1.264,11.01,0.2044,1.76e+03,4.82,0.26,AMO
1.172,0.027,20026817," 26817 (1987 QB)",N,19.49,0.5937,2.806,1.140,3.50,0.2097,1.72e+03,4.7,0.127,AMO
1.802,0.256,20027346," 27346 (2000 DN8)",N,15.88,0.3990,1.875,1.127,36.95,0.3839,938,2.57,0.443,AMO
1.3,0.070,20029075," 29075 (1950 DA)",Y,17.28,0.5075,1.699,0.837,12.15,0.4452,809,2.21,0.0398,APO
0.432,0.654,20033342," 33342 (1998 WT24)",Y,18.02,0.4177,0.7187,0.419,7.37,1.618,223,0.609,0.0105,ATE
0.929,0.408,20035107," 35107 (1991 VH)",Y,16.87,0.1437,1.137,0.973,13.92,0.8134,443,1.21,0.0271,APO
0.704,0.772,20035396," 35396 (1997 XF11)",Y,17.01,0.4838,1.442,0.745,4.10,0.569,633,1.73,0.000331,APO
2.339,0.089,20036183," 36183 (1999 TX16)",N,16.30,0.3323,1.551,1.036,38.22,0.5101,706,1.93,0.135,AMO
0.643,0.469,20038086," 38086 Beowulf (1999 JB)",N,17.35,0.5662,1.42,0.616,23.67,0.5824,618,1.69,0.385,APO
2.517,0.092,20038091," 38091 (1999 JT3)",N,16.30,0.4011,2.17,1.299,9.33,0.3084,1.17e+03,3.2,0.306,AMO
1.554,0.184,20039572," 39572 (1993 DQ1)",Y,16.56,0.4928,2.036,1.033,10.03,0.3392,1.06e+03,2.91,0.0263,AMO
2.131,0.205,20039796," 39796 (1997 TD)",N,15.68,0.4683,2.251,1.197,12.93,0.2918,1.23e+03,3.38,0.188,AMO
0.954,0.177,20040263," 40263 (1999 FQ5)",N,17.75,0.1610,1.495,1.254,25.84,0.5393,668,1.83,0.257,AMO
1.641,0.214,20040267," 40267 (1999 GJ4)",N,15.54,0.8084,1.339,0.257,34.48,0.6363,566,1.55,0.156,APO
0.204,0.267,20041429," 41429 (2000 GE2)",Y,20.66,0.5556,1.593,0.708,2.17,0.4903,734,2.01,0.0111,APO
0.844,0.227,20048603," 48603 (1995 BC2)",N,17.82,0.4297,1.918,1.094,5.02,0.371,970,2.66,0.137,AMO
0.890,0.171,20052387," 52387 Huitzilopochtli (1993 OM7)",N,17.75,0.1897,1.282,1.039,24.15,0.679,530,1.45,0.0604,AMO
1.059,0.471,20052750," 52750 (1998 KK17)",N,16.67,0.5249,1.427,0.678,11.17,0.5783,623,1.7,0.163,APO
1.0,,20052760," 52760 (1998 ML14)",Y,17.52,0.6236,2.409,0.907,2.43,0.2637,1.37e+03,3.74,0.017,APO
6.742,0.051,20052762," 52762 (1998 MT24)",N,14.81,0.6532,2.416,0.838,33.87,0.2625,1.37e+03,3.75,0.137,APO
1.75,,20052768," 52768 (1998 OR2)",Y,16.02,0.5757,2.379,1.010,5.88,0.2685,1.34e+03,3.67,0.00584,APO
7.,,20053319," 53319 (1999 JM8)",Y,15.35,0.6415,2.724,0.976,13.84,0.2192,1.64e+03,4.5,0.0262,APO
1.233,0.266,20053430," 53430 (1999 TY16)",N,16.66,0.4032,2.099,1.253,60.41,0.3241,1.11e+03,3.04,0.291,AMO
0.843,0.222,20053789," 53789 (2000 ED104)",Y,17.35,0.2692,1.371,1.002,40.78,0.6143,586,1.6,0.0478,APO
1.189,0.181,20054401," 54401 (2000 LM)",N,17.23,0.2623,1.711,1.262,18.95,0.4404,817,2.24,0.354,AMO
1.349,0.244,20054686," 54686 (2001 DU8)",N,16.61,0.3418,1.777,1.170,33.21,0.4161,865,2.37,0.434,AMO
1.567,0.856,20054789," 54789 (2001 MZ7)",N,15.08,0.2874,1.776,1.266,24.47,0.4164,864,2.37,0.292,AMO
0.461,0.342,20055408," 55408 (2001 TC2)",N,18.87,0.2246,1.1,0.853,30.39,0.8544,421,1.15,0.147,APO
1.306,0.376,20055532," 55532 (2001 WG2)",N,16.13,0.6952,1.795,0.547,38.54,0.4099,878,2.4,0.339,APO
0.918,0.033,20065679," 65679 (1989 UQ)",Y,19.62,0.2645,0.9148,0.673,1.30,1.126,320,0.875,0.014,ATE
0.78,,20065803," 65803 Didymos (1996 GT)",Y,18.11,0.3832,1.643,1.013,3.41,0.4682,769,2.11,0.0397,APO
1.484,0.319,20066008," 66008 (1998 QH2)",N,15.93,0.3627,1.426,0.909,61.01,0.5787,622,1.7,0.0776,APO
2.864,0.224,20066146," 66146 (1998 TU3)",N,14.36,0.4837,0.7875,0.407,5.42,1.41,255,0.699,0.0738,ATE
1.222,0.187,20066251," 66251 (1999 GJ2)",N,17.00,0.1981,1.536,1.231,11.28,0.518,695,1.9,0.247,AMO
0.808,0.400,20066272," 66272 (1999 JW6)",N,17.22,0.1433,1.508,1.291,51.31,0.5325,676,1.85,0.409,AMO
1.317,,20066391," 66391 Moshup (1999 KW4)",Y,16.64,0.6884,0.6424,0.200,38.88,1.914,188,0.515,0.0119,ATE
0.411,0.182,20066400," 66400 (1999 LT7)",N,19.27,0.5725,0.8554,0.366,9.06,1.246,289,0.791,0.0589,ATE
2.301,0.211,20068063," 68063 (2000 YJ66)",N,15.57,0.4577,2.334,1.266,5.72,0.2764,1.3e+03,3.57,0.274,AMO
0.994,0.449,20068216," 68216 (2001 CV26)",Y,16.57,0.3267,1.32,0.889,17.99,0.6499,554,1.52,0.0242,APO
0.875,0.401,20068267," 68267 (2001 EA16)",N,16.99,0.4273,1.51,0.865,38.82,0.5313,678,1.85,0.059,APO
0.942,0.087,20068278," 68278 (2001 FC7)",N,18.47,0.1143,1.436,1.272,2.62,0.5728,628,1.72,0.263,AMO
0.736,0.291,20068346," 68346 (2001 KZ66)",Y,16.92,0.4165,1.507,0.880,16.70,0.5325,676,1.85,0.0385,APO
3.512,0.299,20068348," 68348 (2001 LO7)",N,14.27,0.8409,2.155,0.343,25.36,0.3115,1.16e+03,3.16,0.386,APO
1.794,0.219,20068350," 68350 (2001 MK3)",N,16.13,0.2475,1.67,1.256,29.57,0.4568,788,2.16,0.302,AMO
1.182,0.289,20068548," 68548 (2001 XR31)",Y,16.56,0.4367,1.707,0.962,22.71,0.4419,815,2.23,0.0265,APO
1.650,0.178,20068950," 68950 (2002 QF15)",Y,16.39,0.3443,1.057,0.693,25.15,0.907,397,1.09,0.00477,APO
1.1,0.242,20085182," 85182 (1991 AQ)",Y,17.13,0.7776,2.22,0.494,3.12,0.2979,1.21e+03,3.31,0.016,APO
2.506,0.093,20085275," 85275 (1994 LY)",N,16.49,0.4419,1.891,1.055,17.71,0.379,950,2.6,0.0637,AMO
0.775,0.461,20085628," 85628 (1998 KV2)",N,17.28,0.3316,1.592,1.064,13.03,0.4906,734,2.01,0.143,AMO
2.230,0.141,20085709," 85709 (1998 SG36)",N,15.92,0.3376,1.646,1.090,24.83,0.4667,771,2.11,0.122,AMO
3.484,0.076,20085713," 85713 (1998 SS49)",Y,15.77,0.6388,1.923,0.695,10.79,0.3695,974,2.67,0.00504,APO
0.939,0.042,20085774," 85774 (1998 UT18)",Y,19.09,0.3289,1.403,0.941,13.59,0.5932,607,1.66,0.0358,APO
2.272,0.167,20085804," 85804 (1998 WQ5)",N,15.35,0.3544,1.721,1.111,27.66,0.4365,825,2.26,0.371,AMO
2.028,0.168,20085818," 85818 (1998 XM4)",N,15.42,0.4160,1.657,0.967,62.72,0.4622,779,2.13,0.108,APO
1.140,0.405,20085839," 85839 (1998 YO4)",N,16.58,0.2481,1.653,1.243,9.32,0.4636,777,2.13,0.239,AMO
0.59,0.32,20085953," 85953 (1999 FK21)",N,18.09,0.7030,0.7389,0.219,12.60,1.552,232,0.635,0.0706,ATE
1.462,0.056,20085989," 85989 (1999 JD6)",Y,17.07,0.6329,0.8831,0.324,17.07,1.188,303,0.83,0.0483,ATE
0.451,0.095,20085990," 85990 (1999 JV6)",Y,20.27,0.3115,1.009,0.695,5.36,0.9723,370,1.01,0.0313,APO
2.22,0.14,20086039," 86039 (1999 NC43)",Y,15.95,0.5789,1.76,0.741,7.13,0.4222,853,2.33,0.025,APO
1.245,0.314,20086067," 86067 (1999 RM28)",N,16.45,0.3234,1.817,1.229,30.55,0.4023,895,2.45,0.364,AMO
